SYMBOL,COMPANY_NAME_API,NSE_INDUSTRY,SECTOR,INDEX_MEMBERSHIP
ARMANFIN,Arman Financial Services Limited,Non Banking Financial Company (NBFC),Financials,
AROGRANITE,Aro Granite Industries Limited,Granites & Marbles,Diversified / Others,
ARROWGREEN,Arrow Greentech Limited,Packaging,Materials,
ARSHIYA,Arshiya Limited,Logistics Solution Provider,Industrials,
ARSSBL,Anand Rathi Share and Stock Brokers Limited,Stockbroking & Allied,Financials,
ARTEMISMED,Artemis Medicare Services Limited,Hospital,Healthcare & Pharma,
ARTNIRMAN,Art Nirman Limited,Residential Commercial Projects,Real Estate & Construction,
ARVEE,Arvee Laboratories (India) Limited,Specialty Chemicals,Materials,
ARVIND,Arvind Limited,Garments & Apparels,Consumer Discretionary,
ARVINDFASN,Arvind Fashions Limited,Speciality Retail,Consumer Discretionary,
ARVSMART,Arvind SmartSpaces Limited,Residential Commercial Projects,Real Estate & Construction,
ASAHIINDIA,Asahi India Glass Limited,Auto Components & Equipments,Consumer Discretionary,"NIFTY500,NIFTYSMALLCAP250"
ASAHISONG,Asahi Songwon Colors Limited,Dyes And Pigments,Materials,
ASAL,Automotive Stampings and Assemblies Limited,Auto Components & Equipments,Consumer Discretionary,
ASALCBR,Associated Alcohols & Breweries Ltd.,Breweries & Distilleries,Consumer Staples,
ASHAPURMIN,Ashapura Minechem Limited,Industrial Minerals,Materials,
ASHIANA,Ashiana Housing Limited,Residential Commercial Projects,Real Estate & Construction,
ASHIMASYN,Ashima Limited,Other Textile Products,Consumer Discretionary,
ASHOKA,Ashoka Buildcon Limited,Civil Construction,Real Estate & Construction,
ASHOKAMET,Ashoka Metcast Limited,Trading - Metals,Materials,
ASHOKLEY,Ashok Leyland Limited,Commercial Vehicles,Consumer Discretionary,"NIFTY500,NIFTYMIDCAP150"
ASIANENE,Asian Energy Services Limited,Oil Equipment & Services,Energy,
ASIANHOTNR,Asian Hotels (North) Limited,Hotels & Resorts,Consumer Discretionary,
ASIANPAINT,Asian Paints Limited,Paints,Materials,"NIFTY100,NIFTY50,NIFTY500"
ASIANTILES,Asian Granito India Limited,Ceramics,Materials,
ASKAUTOLTD,ASK Automotive Limited,Auto Components & Equipments,Consumer Discretionary,
ASMS,Bartronics India Limited,IT Enabled Services,Information Technology,
ASPINWALL,Aspinwall and Company Limited,Logistics Solution Provider,Industrials,
ASTEC,Astec LifeSciences Limited,Pesticides & Agrochemicals,Materials,
ASTERDM,Aster DM Healthcare Limited,Hospital,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
ASTRAL,Astral Limited,Plastic Products - Industrial,Industrials,"NIFTY500,NIFTYMIDCAP150"
ASTRAMICRO,Astra Microwave Products Limited,Aerospace & Defense,Industrials,
ASTRAZEN,AstraZeneca Pharma India Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYSMALLCAP250"
ASTRON,Astron Paper & Board Mill Limited,Paper & Paper Products,Materials,
ATALREAL,Atal Realtech Limited,Residential Commercial Projects,Real Estate & Construction,
ATAM,Atam Valves Limited,Industrial Products,Industrials,
ATGL,Adani Total Gas Limited,LPG/CNG/PNG/LNG Supplier,Energy,"NIFTY500,NIFTYMIDCAP150"
ATHERENERG,Ather Energy Limited,2/3 Wheelers,Diversified / Others,"NIFTY500,NIFTYSMALLCAP250"
ATL,Allcargo Terminals Limited,Port & Port services,Diversified / Others,
ATL-RE,Allcargo Terminals Ltd-RE,Port & Port services,Diversified / Others,
ATLANTAA,ATLANTAA LIMITED,Road Assets - Toll Annuity Hybrid-Annuity,Diversified / Others,
ATLANTAELE,Atlanta Electricals Limited,Heavy Electrical Equipment,Industrials,
ATLASCYCLE,Atlas Cycles (Haryana) Limited,Cycles,Diversified / Others,
ATUL,Atul Limited,Specialty Chemicals,Materials,"NIFTY500,NIFTYSMALLCAP250"
ATULAUTO,Atul Auto Limited,Commercial Vehicles,Consumer Discretionary,
AUBANK,AU Small Finance Bank Limited,Other Bank,Financials,"NIFTY500,NIFTYMIDCAP150"
AURIGROW,Auri Grow India Limited,Cables - Electricals,Industrials,
AURIONPRO,Aurionpro Solutions Limited,Computers - Software & Consulting,Information Technology,
AUROPHARMA,Aurobindo Pharma Limited,Pharmaceuticals,Healthcare & Pharma,"NIFTY500,NIFTYMIDCAP150"
AURUM,Aurum PropTech Limited,IT Enabled Services,Information Technology,
AUSOMENT,Ausom Enterprise Limited,Gems Jewellery And Watches,Consumer Discretionary,
AUTOAXLES,Automotive Axles Limited,Auto Components & Equipments,Consumer Discretionary,
AUTOIND,Autoline Industries Limited,Auto Components & Equipments,Consumer Discretionary,
AVADHSUGAR,Avadh Sugar & Energy Limited,Sugar,Consumer Staples,
AVALON,Avalon Technologies Limited,Other Electrical Equipment,Industrials,
AVANTEL,Avantel Limited,Aerospace & Defense,Industrials,
AVANTIFEED,Avanti Feeds Limited,Animal Feed,Diversified / Others,
AVG,AVG Logistics Limited,Logistics Solution Provider,Industrials,
AVL,Aditya Vision Limited,Speciality Retail,Consumer Discretionary,
AVONMORE,Avonmore Capital & Management Services Limited,Non Banking Financial Company (NBFC),Financials,
AVROIND,AVRO INDIA LIMITED,Plastic Products - Consumer,Consumer Discretionary,
AVTNPL,AVT Natural Products Limited,Other Agricultural Products,Diversified / Others,
AWFIS,Awfis Space Solutions Limited,Diversified Commercial Services,Diversified / Others,
AWHCL,Antony Waste Handling Cell Limited,Waste Management,Diversified / Others,
AWL,AWL Agri Business Limited,Edible Oil,Energy,"NIFTY500,NIFTYMIDCAP150"
AXISBANK,Axis Bank Limited,Private Sector Bank,Financials,"NIFTY100,NIFTY50,NIFTY500"
AXISCADES,AXISCADES Technologies Limited,Aerospace & Defense,Industrials,
AXITA,Axita Cotton Limited,Other Textile Products,Consumer Discretionary,
AYMSYNTEX,AYM Syntex Limited,Other Textile Products,Consumer Discretionary,
AZAD,Azad Engineering Limited,Heavy Electrical Equipment,Industrials,
BAFNAPH,Bafna Pharmaceuticals Limited,Pharmaceuticals,Healthcare & Pharma,
BAGFILMS,B.A.G Films and Media Limited,TV Broadcasting & Software Production,Information Technology,
BAIDFIN,Baid Finserv Limited,Non Banking Financial Company (NBFC),Financials,
BAJAJ-AUTO,Bajaj Auto Limited,2/3 Wheelers,Diversified / Others,"NIFTY100,NIFTY50,NIFTY500"
BAJAJCON,Bajaj Consumer Care Limited,Personal Care,Consumer Staples,
BAJAJELEC,Bajaj Electricals Limited,Household Appliances,Consumer Discretionary,
BAJAJFINSV,Bajaj Finserv Limited,Holding Company,Diversified / Others,"NIFTY100,NIFTY50,NIFTY500"
BAJAJHCARE,Bajaj Healthcare Limited,Pharmaceuticals,Healthcare & Pharma,
BAJAJHFL,Bajaj Housing Finance Limited,Housing Finance Company,Financials,"NIFTY100,NIFTY500"
BAJAJHIND,Bajaj Hindusthan Sugar Limited,Sugar,Consumer Staples,
BAJAJHLDNG,Bajaj Holdings & Investment Limited,Holding Company,Diversified / Others,"NIFTY100,NIFTY500"
BAJAJINDEF,Indef Manufacturing Limited,Industrial Products,Industrials,
BAJEL,Bajel Projects Limited,Heavy Electrical Equipment,Industrials,
BAJFINANCE,Bajaj Finance Limited,Non Banking Financial Company (NBFC),Financials,"NIFTY100,NIFTY50,NIFTY500"
BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,Packaging,Materials,
BALAJITELE,Balaji Telefilms Limited,Media & Entertainment,Consumer Discretionary,
BALAMINES,Balaji Amines Limited,Specialty Chemicals,Materials,
BALAXI,BALAXI PHARMACEUTICALS LIMITED,Pharmaceuticals,Healthcare & Pharma,
BALKRISHNA,Balkrishna Paper Mills Limited,Paper & Paper Products,Materials,
BALKRISIND,Balkrishna Industries Limited,Tyres & Rubber Products,Consumer Discretionary,"NIFTY500,NIFTYMIDCAP150"
BALMLAWRIE,Balmer Lawrie & Company Limited,Diversified,Diversified / Others,
BALPHARMA,Bal Pharma Limited,Pharmaceuticals,Healthcare & Pharma,
BALRAMCHIN,Balrampur Chini Mills Limited,Sugar,Consumer Staples,"NIFTY500,NIFTYSMALLCAP250"
BALUFORGE,Balu Forge Industries Limited,Castings & Forgings,Industrials,
BANARBEADS,Banaras Beads Limited,Gems Jewellery And Watches,Consumer Discretionary,
BANARISUG,Bannari Amman Sugars Limited,Sugar,Consumer Staples,
BANCOINDIA,Banco Products (I) Limited,Auto Components & Equipments,Consumer Discretionary,
